,Unnamed: 0,Project_ID,Recipient-ID,Recipient_Name,State/Territory,Reporting_Tier,Recipient_Type,Completion_Status,Project_Name,Expenditure_Category_Group,Expenditure_Category,Project_Description,Adopted_Budget,Total_Cumulative_Obligations,Total_Cumulative_Expenditures,Number_of_Households_Served_(Select_Expenditure_Categories_Only),Number_of_Workers_Served_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Responding_to_COVID-19_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only),Community_benefit_agreement?_(Infrastructure_Only),Complying_with_David_Bacon?_(Infrastructure_Only),Project_labor_agreement?_(Infrastructure_Only),Does_the_Project_have_Capital_Expenditures?_(Yes/No)_(Select_Expenditure_Categories_Only),Type_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Total_Expected_Cost_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Primary_Demographic_Served_(Select_Expenditure_Categories_Only),Secondary_Demographic_Served_(Select_Expenditure_Categories_Only),Tertiary_Demographic_Served_(Select_Expenditure_Categories_Only),Project_is_conducting_an_evidence_based_program_evaluation?_(Yes/No),Project_Total_Spending_on_Evidence_Based_Evaluation,timestamp,Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only)2,Complying_with_Davis_Bacon?_(Infrastructure_Only),Project_being_evaluated_through_rigorous_program_evaluation?,Dollar_amount_of_the_total_project_spending_allocated_towards_evidence-based_interventions,Project_Description_keywords,Project_mention_tracing_yn
167,167,TPN-176497,RCP-036672,"Mayaguez Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Researcher(1)/Educator Services in the COVID 19 Tracking Program,1-Public Health,1.3-COVID-19 Contact Tracing,Community services and contagion control through research/education work in the COVID 19 screening program.,16000.0,16000.0,13100.0,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,5 Imp HHs that qualify for certain federal programs,,,2023-12-31,,,,,"COVID, Community, contagion, control, education, program, research, screening, services, work",no
168,168,TPN-176519,RCP-036672,"Mayaguez Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Researcher(5)/Educator Services in the COVID 19 Tracking Program,1-Public Health,1.3-COVID-19 Contact Tracing,Community services and contagion control through research/education work in the COVID 19 screening program.,16000.0,16000.0,12800.0,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,5 Imp HHs that qualify for certain federal programs,,,2023-12-31,,,,,"COVID, Community, contagion, control, education, program, research, screening, services, work",no
169,169,TPN-181236,RCP-036336,State Of Rhode Island,Rhode Island,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Completed less than 50%,COVID-19 Operational Support: Epidemiology,1-Public Health,1.3-COVID-19 Contact Tracing,"COVID-19 remains a mandatorily reportable disease of public health significance. As such, RIDOH will continue to appropriate COVID-19 response activities in the area of Epidemiology Operations in order to protect the health of Rhode Island residents: prevent COVID-19 spread, morbidity, and mortality, and promote evidence-based COVID-19 vaccinations, treatments, and mitigation measures.",10948478.0,4805117.82,868545.87,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"COVID-19, Epidemiology, Island, Operations, RIDOH, Rhode, activities, appropriate, area, based, continue, disease, evidence, health, measures, mitigation, morbidity, mortality, order, prevent, promote, protect, public, remains, reportable, residents, response, significance, spread, treatments, vaccinations",no
170,170,TPN-141024,RCP-037598,"Framingham, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Framingham COVID-19 Contact Tracing Q1 2023,1-Public Health,1.3-COVID-19 Contact Tracing,COVID-19 Contact Tracing and Clinic,25647.2,25647.2,25647.2,,,,,,,,No,,,1 Imp General Public,2 Imp Low or moderate income HHs or populations,4 Imp HHs that experienced increased food or housing insecurity,,,2023-12-31,,,,,"COVID-19, Clinic, Contact, Tracing",no
171,171,TPN-058699,RCP-036675,"Rio Grande Municipio City, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,COVID CONTACT TRACING CENTER,1-Public Health,1.3-COVID-19 Contact Tracing,"The COVID Contact Tracing Center (the “Center) is a program design to mitigate and prevent the
spread of the coronavirus in the Municipality of Río Grande. The program is operated in collaboration
with non-profit organizations and includes a multi-disciplinary team integrated by different
professionals. The program consists of three core elements: contact tracing, vaccinations and direct
services to individuals and families affected by the coronavirus. The Center particularly is aimed at
investigating and tracing COVID cases within the Municipality and it includes an outreach and
community education component. Some of the main objectives entail:
 Increase public awareness on COVID-19 preventive measures, to reduce the virus
transmission, through educational campaigns and educational and promotional activities.
 Develop and coordinate collaborative agreements related to vaccination and service delivery
to manage the identified needs of the population resulting from research and screening
efforts.
 Investigate cases from Bio Portal information and self-referred cases.
 Follow up contacts and cases until isolation or quarantine is complete.
 Identify active outbreaks and report in a timely manner to the concerned areas so that they
can be addressed and prevent the spread of the condition.",270168.0,270168.0,270168.0,,,,,,,,Yes,Other (please specify),10000.0,18 Dis Imp HHs residing in the U.S. territories or receiving services,20 Dis Imp Other HHs or populations that experienced a disproportionate,1 Imp General Public,,,2023-12-31,,,,,"-, Bio, COVID, COVID-19, Center, Contact, Develop, Follow, Grande, Identify, Increase, Investigate, Municipality, Portal, Río, Tracing, active, activities, addressed, affected, agreements, aimed, areas, awareness, campaigns, cases, collaboration, collaborative, community, complete, component, concerned, condition, consists, contact, contacts, coordinate, core, coronavirus, delivery, design, different, direct, disciplinary, education, educational, efforts, elements, entail, families, identified, includes, individuals, information, integrated, investigating, isolation, main, manage, manner, measures, mitigate, multi, needs, non, objectives, operated, organizations, outbreaks, outreach, population, prevent, preventive, professionals, profit, program, promotional, public, quarantine, reduce, referred, related, report, research, resulting, screening, self, service, services, spread, team, timely, tracing, transmission, vaccination, vaccinations, virus, ",yes
172,172,TPN-009325,RCP-039747,"Imperial County, California",California,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Contact Tracing and Case Investigation,1-Public Health,1.3-COVID-19 Contact Tracing,Allocate monies for the IC Public Health Department to perform contact tracing and case investigation for the pandemic.,1300000.0,619705.66,619705.66,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"Allocate, Department, Health, IC, Public, case, contact, investigation, monies, pandemic, perform, tracing",yes
173,173,TPN-067108,RCP-037730,"Waltham, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,PT/Temporary nurses were hired to perform contact tracing for the City of Waltham.,,169965.14,169965.14,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"City, PT, Temporary, Waltham, contact, hired, nurses, perform, tracing",yes
174,174,TPN-023622,RCP-040576,"City Of Kansas City, Missouri",Missouri,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,COVID-19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"Tracers provide phone support for citizens, schools, day cares, businesses as well as City Departments/employees regarding enforcement, exposure, quarantine, City/CDC guidance and locations for testing. This support is a vital connection for citizens. Providing correct and up-to-date information and contact tracing is critical to containing the spread of coronavirus. Containment, the key strategy in quickly halting an epidemic, requires rapid identification and quarantine of the infected individuals, determination with whom they have had close contact during the incubation period, and decontamination of locations the infected individuals have visited. These costs include the salaries and contracts for personnel, as well as training for all Tracers.",553473.96,553473.96,553473.96,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"CDC, City, Containment, Departments, Providing, Tracers, businesses, cares, citizens, close, connection, contact, containing, contracts, coronavirus, correct, costs, critical, date, day, decontamination, determination, employees, enforcement, epidemic, exposure, guidance, halting, identification, include, incubation, individuals, infected, information, key, locations, period, personnel, phone, provide, quarantine, rapid, requires, salaries, schools, spread, strategy, support, testing, tracing, training, visited, vital",yes
175,175,TPN-078849,RCP-039003,"Saginaw County, Michigan",Michigan,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,COVID Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,Temporary public employee to document positive COVID cases and perform contact tracing within the workforce.,36346.0,3328.91,3328.91,,,,,,,,No,,,1 Imp General Public,,,,,2023-12-31,,,,,"COVID, Temporary, cases, contact, document, employee, perform, positive, public, tracing, workforce",yes
176,176,TPN-079513,RCP-037598,"Framingham, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Framingham COVID-19 Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"City of Framingham COVID-19 Contact Tracing 
• Log into state disease surveillance data system (MAVEN) and claim all Framingham positive cases (required by
state) and assign to COVID team contact tracers 
• Call and complete question package in state data system for positive cases, use state funded interpreter services as
needed. During surges prioritize positive cases in highest risk age groups and settings. (questions here: 
http://www.maventrainingsite.com/maven-help/pdf/COVID-19%20Interviewing%20Tool_Ver8.0_Oct_11_2021.pdf
)
• Call or send letters to positive cases with clear instructions in English, Spanish and/or Portuguese for completing
isolation. During surges prioritize positive cases in highest risk age groups and settings. 
• Call or send letters to close contacts with clear instructions in English, Spanish and/or Portuguese for completing
quarantine. During surges prioritize close contacts in highest risk age groups and settings. 
• Identify workplace or childcare clusters and document in MAVEN 
• Cross reference cases with School Health Unit to ensure FPS students and household members receive accurate
information
• Write and provide Return to Work or Isolation clearance letters as needed",,74378.0,74378.0,,,,,,,,No,,,1 Imp General Public,1 Imp General Public,2 Imp Low or moderate income HHs or populations,,,2023-12-31,,,,,"COVID, COVID-19, City, Contact, Cross, English, FPS, Framingham, Health, Identify, Isolation, Log, MAVEN, Portuguese, Return, School, Spanish, Tracing, Unit, Work, Write, accurate, age, assign, cases, childcare, claim, clear, clearance, close, clusters, complete, completing, contact, contacts, data, disease, document, ensure, funded, groups, highest, household, http://www.maventrainingsite.com/maven-help/pdf/COVID-19%20Interviewing%20Tool_Ver8.0_Oct_11_2021.pdf, information, instructions, interpreter, isolation, letters, members, needed, package, positive, prioritize, provide, quarantine, question, questions, receive, reference, required, risk, send, services, settings, state, students, surges, surveillance, system, team, tracers, use, workplace, •",yes
